111222,KFC,malmö,0723675982,KFC,KFCpassword
222333,CurryHouse,göteborg,0723678782,CurryHouse,CurryHousepassword
333444,Amore Restaurang,helsinborg,0723575982,AmoreRestaurang,Amorepassword
444555,Asian Wok,kristianstad,0723688982, AsianWok,Asianpassword
555666,Picadeli,stockholm,0763665982,Picadeli,Picadelipassword
666777,Burger King,stockholm,0763465982,BK,BurgerKingpassword
777888,Libanesisk Restaurang,mälmo,0763665982,LibanesiskRestaurang,Libanesiskpassword
888999,Smaka,uppsala,0763665982,Smaka,Smakapassword
999100,LaiThai,lund,0763665982,laithai,laithaipassword
100111,VeggieKins,vaxjö,0763665982,vegkins,veggieKinspassword
